date,hour,day,vehicle_count,avg_speed,accidents,fuel_consumption
2024-01-01,0,Monday,180,62,0,8.9
2024-01-01,1,Monday,160,64,0,7.8
2024-01-01,2,Monday,140,66,0,6.9
2024-01-01,3,Monday,130,67,0,6.4
2024-01-01,4,Monday,150,65,0,7.3
2024-01-01,5,Monday,220,58,0,10.6
2024-01-01,6,Monday,450,40,1,21.8
2024-01-01,7,Monday,980,24,3,48.7
2024-01-01,8,Monday,1250,18,4,62.1
2024-01-01,9,Monday,1180,20,3,58.3
2024-01-01,10,Monday,920,28,2,45.2
2024-01-01,11,Monday,760,35,1,36.8
2024-01-01,12,Monday,820,32,1,39.6
2024-01-01,13,Monday,780,34,1,37.5
2024-01-01,14,Monday,740,36,1,35.9
2024-01-01,15,Monday,810,33,1,39.1
2024-01-01,16,Monday,980,26,2,47.9
2024-01-01,17,Monday,1320,17,4,65.3
2024-01-01,18,Monday,1480,15,5,73.4
2024-01-01,19,Monday,1390,16,4,69.2
2024-01-01,20,Monday,1100,22,3,54.8
2024-01-01,21,Monday,720,38,1,34.9
2024-01-01,22,Monday,420,50,0,20.4
2024-01-01,23,Monday,260,58,0,12.6
2024-01-02,Tuesday,0,190,61,0,9.2
2024-01-02,1,Tuesday,170,63,0,8.1
2024-01-02,2,Tuesday,150,65,0,7.1
2024-01-02,3,Tuesday,140,66,0,6.7
2024-01-02,4,Tuesday,160,64,0,7.6
2024-01-02,5,Tuesday,240,56,0,11.3
2024-01-02,6,Tuesday,480,39,1,23.4
2024-01-02,7,Tuesday,1020,23,3,50.9
2024-01-02,8,Tuesday,1300,17,4,64.8
2024-01-02,9,Tuesday,1210,19,3,60.2
2024-01-02,10,Tuesday,950,27,2,46.8
2024-01-02,11,Tuesday,790,34,1,38.2
2024-01-02,12,Tuesday,840,31,1,40.3
2024-01-02,13,Tuesday,800,33,1,38.6
2024-01-02,14,Tuesday,760,35,1,36.9
2024-01-02,15,Tuesday,830,32,1,40.1
2024-01-02,16,Tuesday,1010,25,2,49.5
2024-01-02,17,Tuesday,1350,16,4,66.7
2024-01-02,18,Tuesday,1500,14,5,74.9
2024-01-02,19,Tuesday,1410,15,4,70.4
2024-01-02,20,Tuesday,1130,21,3,56.2
2024-01-02,21,Tuesday,750,37,1,36.4
2024-01-02,22,Tuesday,440,49,0,21.3
2024-01-02,23,Tuesday,280,57,0,13.4
2024-01-03,0,Wednesday,170,63,0,8.4
2024-01-03,1,Wednesday,155,65,0,7.6
2024-01-03,2,Wednesday,145,66,0,7.1
2024-01-03,3,Wednesday,135,67,0,6.6
2024-01-03,4,Wednesday,155,65,0,7.5
2024-01-03,5,Wednesday,230,57,0,11.0
2024-01-03,6,Wednesday,470,41,1,22.6
2024-01-03,7,Wednesday,990,25,3,49.1
2024-01-03,8,Wednesday,1280,18,4,63.5
2024-01-03,9,Wednesday,1200,20,3,59.4
2024-01-03,10,Wednesday,940,28,2,46.0
2024-01-03,11,Wednesday,780,35,1,37.6
2024-01-03,12,Wednesday,830,33,1,39.8
2024-01-03,13,Wednesday,790,34,1,38.2
2024-01-03,14,Wednesday,750,36,1,36.4
2024-01-03,15,Wednesday,820,33,1,39.5
2024-01-03,16,Wednesday,1000,26,2,48.8
2024-01-03,17,Wednesday,1330,17,4,65.9
2024-01-03,18,Wednesday,1490,15,5,73.8
2024-01-03,19,Wednesday,1400,16,4,69.9
2024-01-03,20,Wednesday,1120,22,3,55.6
2024-01-03,21,Wednesday,730,38,1,35.3
2024-01-03,22,Wednesday,430,51,0,20.9
2024-01-03,23,Wednesday,270,59,0,13.0
2024-01-04,0,Thursday,175,62,0,8.6
2024-01-04,1,Thursday,160,64,0,7.9
2024-01-04,2,Thursday,150,65,0,7.3
2024-01-04,3,Thursday,140,66,0,6.8
2024-01-04,4,Thursday,160,64,0,7.8
2024-01-04,5,Thursday,235,56,0,11.2
2024-01-04,6,Thursday,480,40,1,23.1
2024-01-04,7,Thursday,1005,24,3,49.8
2024-01-04,8,Thursday,1295,18,4,64.3
2024-01-04,9,Thursday,1220,19,3,60.6
2024-01-04,10,Thursday,960,27,2,47.2
2024-01-04,11,Thursday,800,34,1,38.5
2024-01-04,12,Thursday,850,32,1,40.9
2024-01-04,13,Thursday,810,33,1,39.0
2024-01-04,14,Thursday,770,35,1,37.2
2024-01-04,15,Thursday,840,32,1,40.6
2024-01-04,16,Thursday,1020,25,2,50.1
2024-01-04,17,Thursday,1360,16,4,67.4
2024-01-04,18,Thursday,1510,14,5,75.2
2024-01-04,19,Thursday,1420,15,4,70.8
2024-01-04,20,Thursday,1140,21,3,56.9
2024-01-04,21,Thursday,760,37,1,36.8
2024-01-04,22,Thursday,450,49,0,21.6
2024-01-04,23,Thursday,290,57,0,13.9
